,name,pn_bar,tfluid_k,height_m,in_service,type
278,Junction_14292_supply,10.0,359.3562478951201,0.0,True,junction
279,Junction_14292_return,8.0,308.15,0.0,True,junction
280,Junction_14297_supply,10.0,359.3562478951201,0.0,True,junction
281,Junction_14297_return,8.0,308.15,0.0,True,junction
282,Junction_15412_supply,10.0,359.3562478951201,0.0,True,junction
283,Junction_15412_return,8.0,308.15,0.0,True,junction
284,Junction_15414_supply,10.0,359.3562478951201,0.0,True,junction
285,Junction_15414_return,8.0,308.15,0.0,True,junction
286,Junction_15720_supply,10.0,359.3562478951201,0.0,True,junction
287,Junction_15720_return,8.0,308.15,0.0,True,junction
288,Junction_16220_supply,10.0,359.3562478951201,0.0,True,junction
289,Junction_16220_return,8.0,308.15,0.0,True,junction
290,Junction_16232_supply,10.0,359.3562478951201,0.0,True,junction
291,Junction_16232_return,8.0,308.15,0.0,True,junction
292,Junction_16278_supply,10.0,359.3562478951201,0.0,True,junction
293,Junction_16278_return,8.0,308.15,0.0,True,junction
294,Junction_16338_supply,10.0,359.3562478951201,0.0,True,junction
295,Junction_16338_return,8.0,308.15,0.0,True,junction
296,Junction_16340_supply,10.0,359.3562478951201,0.0,True,junction
297,Junction_16340_return,8.0,308.15,0.0,True,junction
298,Junction_16565_supply,10.0,359.3562478951201,0.0,True,junction
299,Junction_16565_return,8.0,308.15,0.0,True,junction
300,Junction_17058_supply,10.0,359.3562478951201,0.0,True,junction
301,Junction_17058_return,8.0,308.15,0.0,True,junction
302,Junction_17125_supply,10.0,359.3562478951201,0.0,True,junction
303,Junction_17125_return,8.0,308.15,0.0,True,junction
304,Junction_17173_supply,10.0,359.3562478951201,0.0,True,junction
305,Junction_17173_return,8.0,308.15,0.0,True,junction
306,Junction_17277_supply,10.0,359.3562478951201,0.0,True,junction
307,Junction_17277_return,8.0,308.15,0.0,True,junction
308,Junction_17278_supply,10.0,359.3562478951201,0.0,True,junction
309,Junction_17278_return,8.0,308.15,0.0,True,junction
310,Junction_17342_supply,10.0,359.3562478951201,0.0,True,junction
311,Junction_17342_return,8.0,308.15,0.0,True,junction
312,Junction_17528_supply,10.0,359.3562478951201,0.0,True,junction
313,Junction_17528_return,8.0,308.15,0.0,True,junction
314,Junction_17656_supply,10.0,359.3562478951201,0.0,True,junction
315,Junction_17656_return,8.0,308.15,0.0,True,junction
316,Junction_17746_supply,10.0,359.3562478951201,0.0,True,junction
317,Junction_17746_return,8.0,308.15,0.0,True,junction
318,Junction_18008_supply,10.0,359.3562478951201,0.0,True,junction
319,Junction_18008_return,8.0,308.15,0.0,True,junction
320,Junction_18013_supply,10.0,359.3562478951201,0.0,True,junction
321,Junction_18013_return,8.0,308.15,0.0,True,junction
322,Junction_18016_supply,10.0,359.3562478951201,0.0,True,junction
323,Junction_18016_return,8.0,308.15,0.0,True,junction
